Unnamed: 0,type,name,count,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,fps,duration,num_frames,segment_start,segment_end,cycle_start_id,prediction,mae,obo
9,cow_bite,10f1a9b90589c2bc657320dc4958fb19ea2d51fbcdb251402e6112e4407de2e7_3.mp4,13,0,31.0,31.0,59.0,59.0,82.0,82.0,109.0,109.0,128.0,128.0,156.0,156.0,182.0,182.0,210.0,210.0,235.0,235.0,257.0,257.0,283.0,283.0,308.0,308.0,316.0,,,,,,,,,,,,,,,,,,,,,120.0,3.05833333333333,367,0,367,0,14.0,0.07692307691715976,1.0
15,cow_bite,37c993d16e39c7a06469d11edce24326323c489f75de5dcd0c73eba86d9eb942_2.mp4,17,0,20.0,20.0,43.0,43.0,69.0,69.0,93.0,93.0,116.0,116.0,135.0,135.0,159.0,159.0,181.0,181.0,204.0,204.0,223.0,223.0,245.0,245.0,268.0,268.0,288.0,288.0,453.0,453.0,487.0,487.0,511.0,511.0,519.0,,,,,,,,,,,,,120.0,4.18333333333333,502,0,502,0,17.0,0.0,1.0
16,cow_bite,37c993d16e39c7a06469d11edce24326323c489f75de5dcd0c73eba86d9eb942_3.mp4,7,0,24.0,24.0,43.0,43.0,71.0,71.0,172.0,172.0,202.0,202.0,224.0,224.0,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,8.4,252,0,252,0,7.0,0.0,1.0
18,cow_bite,46e9cc048a75d3c6404323ffa5ff8668c6b96a1640c61a52ec1155ef8b13d8bc_2.mp4,4,0,18.0,18.0,38.0,38.0,56.0,56.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,7.58333333333333,182,0,182,0,0.0,0.99999999975,0.0
55,cow_bite,4ff8a74c52c529eceb817a1d89e76a3ae053583c2abc491ecacbe560484b2e7e_1.mp4,10,0,29.0,29.0,50.0,50.0,76.0,76.0,97.0,97.0,121.0,121.0,145.0,145.0,165.0,165.0,187.0,187.0,211.0,211.0,219.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,10.0416666666667,241,0,241,0,10.0,0.0,1.0
60,cow_bite,8f609871c33a11835defd4b9a79a6b30ee4f311d86cc4f513f94515c2cf81126_2.mp4,6,0,26.0,26.0,49.0,49.0,71.0,71.0,96.0,96.0,121.0,121.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,9.70833333333333,233,0,233,0,6.0,0.0,1.0
70,cow_bite,117f0eeafe8d5ac58b984131dff27ba3e285203d3e3ea7d090f300f1e33b3c4b_1.mp4,18,0,18.0,18.0,39.0,39.0,56.0,56.0,73.0,73.0,90.0,90.0,108.0,108.0,125.0,125.0,142.0,142.0,159.0,159.0,178.0,178.0,194.0,194.0,211.0,211.0,227.0,227.0,245.0,245.0,262.0,262.0,278.0,278.0,294.0,294.0,300.0,,,,,,,,,,,24.0,13.3333333333333,320,0,320,0,16.0,0.11111111110493826,0.0
74,cow_bite,95040dc15ce9ada82353103a13d1b395c937a9ea6747159f631bfa492b98373f_1.mp4,14,0,22.0,22.0,42.0,42.0,60.0,60.0,79.0,79.0,97.0,97.0,116.0,116.0,136.0,136.0,153.0,153.0,172.0,172.0,192.0,192.0,211.0,211.0,229.0,229.0,247.0,247.0,256.0,,,,,,,,,,,,,,,,,,,24.0,12.25,294,0,294,0,14.0,0.0,1.0
76,cow_bite,95040dc15ce9ada82353103a13d1b395c937a9ea6747159f631bfa492b98373f_3.mp4,12,0,19.0,19.0,37.0,37.0,54.0,54.0,73.0,73.0,91.0,91.0,109.0,109.0,127.0,127.0,144.0,144.0,165.0,165.0,183.0,183.0,197.0,197.0,207.0,,,,,,,,,,,,,,,,,,,,,,,24.0,11.25,270,0,270,0,12.0,0.0,1.0
116,cow_bite,c3a5ff137274f12038e9941c30be194f54fe216c918ac0916644cedd7e3a0cdf.mp4,14,0,28.0,28.0,45.0,45.0,70.0,70.0,92.0,92.0,115.0,115.0,139.0,139.0,157.0,157.0,182.0,182.0,204.0,204.0,230.0,230.0,251.0,251.0,272.0,272.0,297.0,297.0,305.0,,,,,,,,,,,,,,,,,,,25.0,13.44,336,0,336,0,15.0,0.07142857142346938,1.0
